transaction_id,sender_id,receiver_id,amount,timestamp
TX_002463,ACC_00001,ACC_00581,223.15,2025-01-11 23:37:10
TX_000747,ACC_00046,ACC_00514,2177.45,2025-01-24 09:24:22
TX_002422,ACC_00134,ACC_00170,725.4,2025-02-05 22:22:08
TX_006279,ACC_00041,ACC_00451,4869.41,2025-02-18 14:12:06
TX_001289,ACC_00358,ACC_00153,2965.19,2025-01-29 10:48:12
TX_001924,ACC_00140,ACC_00144,2556.24,2025-02-26 19:52:36
TX_003701,ACC_00211,ACC_00216,430.88,2025-02-02 22:05:47
TX_003334,ACC_00150,ACC_00547,822.98,2025-01-26 23:05:35
TX_001468,ACC_00059,ACC_00295,875.32,2025-02-03 00:14:02
TX_002384,ACC_00026,ACC_00527,3968.77,2025-02-13 05:52:43
TX_001471,ACC_00049,ACC_00044,3353.99,2025-02-25 23:48:54
TX_001240,ACC_00466,ACC_00105,3015.87,2025-02-25 18:51:38
TX_001461,ACC_00413,ACC_00152,3141.27,2025-01-10 23:24:53
TX_001242,ACC_00527,ACC_00141,3474.32,2025-02-01 23:13:43
TX_001080,ACC_00537,ACC_00073,4856.4,2025-02-18 16:53:40
TX_001403,ACC_00021,ACC_00309,3116.94,2025-01-21 17:44:37
TX_001153,ACC_00045,ACC_00184,445.28,2025-01-19 01:07:59
TX_003678,ACC_00053,ACC_00059,3907.58,2025-01-02 09:28:23
TX_001279,ACC_00326,ACC_00279,3976.66,2025-01-13 20:54:09
TX_002374,ACC_00182,ACC_00224,844.52,2025-01-04 17:14:49
TX_003693,ACC_00381,ACC_00593,1157.79,2025-02-17 16:33:36
TX_001220,ACC_00464,ACC_00186,1835.85,2025-02-25 13:07:24
TX_001484,ACC_00481,ACC_00243,2413.89,2025-02-17 19:52:44
TX_001254,ACC_00398,ACC_00386,2309.59,2025-01-16 21:05:10
TX_001386,ACC_00323,ACC_00325,3000.84,2025-01-17 00:21:41
TX_002427,ACC_00350,ACC_00329,3830.26,2025-01-02 09:28:51
TX_001523,ACC_00298,ACC_00530,1901.4,2025-01-02 22:15:51
TX_003657,ACC_00303,ACC_00238,4503.59,2025-02-25 00:53:48
TX_002425,ACC_00184,ACC_00452,268.24,2025-02-14 15:27:24
TX_001988,ACC_00396,ACC_00144,4365.62,2025-02-09 14:47:22
TX_003664,ACC_00599,ACC_00338,3668.35,2025-02-08 05:40:07
TX_001923,ACC_00463,ACC_00013,4154.92,2025-02-03 12:36:09
TX_002025,ACC_00187,ACC_00060,3706.58,2025-02-15 23:40:18
TX_002391,ACC_00196,ACC_00014,1841.63,2025-02-05 18:52:11
TX_001376,ACC_00532,ACC_00157,4385.79,2025-01-26 15:41:58
TX_003552,ACC_00599,ACC_00594,410.51,2025-02-14 23:22:54
TX_001365,ACC_00126,ACC_00247,3886.98,2025-01-29 03:13:01
TX_003679,ACC_00378,ACC_00517,1375.89,2025-01-21 15:49:25
TX_000988,ACC_00070,ACC_00381,3078.43,2025-01-02 19:11:39
TX_000287,ACC_00273,ACC_00511,1931.6,2025-02-20 09:47:23
TX_001247,ACC_00511,ACC_00589,2199.43,2025-02-15 22:39:14
TX_003685,ACC_00416,ACC_00098,3230.93,2025-01-14 06:24:51
TX_001381,ACC_00442,ACC_00425,3434.11,2025-02-09 03:32:41
TX_002027,ACC_00239,ACC_00597,2506.92,2025-01-11 14:17:58
TX_000853,ACC_00039,ACC_00150,2981.62,2025-01-07 20:36:17
TX_003714,ACC_00449,ACC_00080,1613.14,2025-02-17 04:15:36
TX_001982,ACC_00485,ACC_00126,283.84,2025-02-17 20:56:24
TX_003507,ACC_00584,ACC_00211,4975.23,2025-01-22 03:14:52
TX_001389,ACC_00229,ACC_00178,3343.8,2025-02-11 15:12:25
TX_003713,ACC_00155,ACC_00219,1331.74,2025-02-23 21:31:20
TX_000113,ACC_00087,ACC_00458,4410.44,2025-02-26 17:51:40
TX_001760,ACC_00491,ACC_00451,4017.32,2025-01-31 10:56:58
TX_001999,ACC_00280,ACC_00354,3901.78,2025-02-21 20:49:27
TX_000351,ACC_00107,ACC_00484,4340.61,2025-02-22 22:04:36
TX_001771,ACC_00526,ACC_00564,1793.19,2025-01-30 05:04:15
TX_002383,ACC_00513,ACC_00075,2218.89,2025-01-14 00:46:08
TX_003336,ACC_00467,ACC_00515,3183.06,2025-01-24 21:17:30
TX_003368,ACC_00495,ACC_00142,1470.3,2025-01-28 23:53:35
TX_001258,ACC_00411,ACC_00540,4013.25,2025-01-25 15:32:00
TX_002315,ACC_00170,ACC_00517,4960.68,2025-02-11 15:50:24
TX_003684,ACC_00213,ACC_00554,3584.52,2025-02-11 20:13:57
TX_003367,ACC_00243,ACC_00357,4648.01,2025-01-08 10:13:20
TX_003481,ACC_00522,ACC_00405,1841.21,2025-02-03 08:48:20
TX_003829,ACC_00469,ACC_00231,646.72,2025-02-04 09:57:12
TX_001368,ACC_00164,ACC_00429,203.4,2025-02-19 05:42:02
TX_001230,ACC_00001,ACC_00365,4364,2025-02-02 14:15:44
TX_001962,ACC_00489,ACC_00055,1427.44,2025-01-19 15:54:19
TX_000500,ACC_00272,ACC_00090,1066.79,2025-01-10 02:42:01
TX_003366,ACC_00493,ACC_00536,2525.64,2025-01-21 20:49:13
TX_003027,ACC_00293,ACC_00448,4482.37,2025-02-15 04:13:16
TX_000896,ACC_00268,ACC_00517,4248.39,2025-02-21 02:03:57
TX_000572,ACC_00113,ACC_00500,2474.79,2025-01-26 06:51:00
TX_000271,ACC_00599,ACC_00486,1648.28,2025-01-29 17:03:00
TX_003060,ACC_00212,ACC_00185,4891.88,2025-01-06 04:54:22
TX_003357,ACC_00263,ACC_00215,1174.11,2025-02-02 15:56:18
TX_003932,ACC_00581,ACC_00522,1825.55,2025-01-06 16:24:39
TX_000866,ACC_00436,ACC_00566,622.72,2025-02-15 15:19:55
TX_002991,ACC_00169,ACC_00250,4614.11,2025-02-08 19:01:43
TX_000926,ACC_00083,ACC_00389,3893.77,2025-01-10 09:37:40
TX_002307,ACC_00490,ACC_00099,2255.04,2025-02-18 09:59:40
TX_002245,ACC_00080,ACC_00248,3249.64,2025-01-19 21:25:43
TX_003993,ACC_00121,ACC_00043,2498.74,2025-01-03 22:22:30
TX_001188,ACC_00532,ACC_00400,3101.43,2025-01-10 16:17:27
TX_003382,ACC_00187,ACC_00104,1885.38,2025-02-20 18:19:47
TX_002628,ACC_00005,ACC_00088,3932.45,2025-02-21 01:19:42
TX_002212,ACC_00168,ACC_00357,4583.27,2025-01-03 15:00:36
TX_003705,ACC_00371,ACC_00084,537.77,2025-01-12 22:59:13
TX_003968,ACC_00295,ACC_00443,3054.19,2025-01-20 04:55:40
TX_001790,ACC_00020,ACC_00410,4596.39,2025-01-26 00:21:44
TX_000144,ACC_00116,ACC_00272,795.32,2025-01-13 08:14:57
TX_001762,ACC_00031,ACC_00399,4811.81,2025-02-28 04:54:43
TX_003703,ACC_00565,ACC_00504,1096.97,2025-02-04 04:21:09
TX_003468,ACC_00322,ACC_00422,2748.11,2025-02-01 08:11:47
TX_003460,ACC_00097,ACC_00326,423.99,2025-01-30 01:05:24
TX_001440,ACC_00310,ACC_00431,2913.6,2025-01-02 17:23:19
